name,score,uuiduuid
Player 03333,0,14fe3c42-2210-4348-ab0a-f52c8add504d
xnacly,2900,8667ca63-b575-4bcb-93ae-07fcabab003a
Player 13410,-100,814791f4-59bf-4525-87b5-99c6f0993c56
Player 03333,0,14fe3c42-2210-4348-ab0a-f52c8add504d
xnacly,2900,8667ca63-b575-4bcb-93ae-07fcabab003a
Player 13410,-100,814791f4-59bf-4525-87b5-99c6f0993c56
Player 03333,0,14fe3c42-2210-4348-ab0a-f52c8add504d
xnacly,2900,8667ca63-b575-4bcb-93ae-07fcabab003a
Player 13410,-100,814791f4-59bf-4525-87b5-99c6f0993c56
Player 03333,0,14fe3c42-2210-4348-ab0a-f52c8add504d
xnacly,0,1a3e333b-c6ad-4086-ae73-bf4b65a12970
No.1,99900,ce7fe493-13bd-479d-ba02-471c6b7e3076
Player 04012,-100,70e4f710-5b7a-4c1c-8ae9-77e38737c16f
